authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Gardner & Oswald,2001,1991,,Does Money Buy Happiness? A Longitudinal Study Using Data on Windfalls,Y,,gardner_01,,Y,,Lottery,,UK,0,lottery winners,,Adults,,9493,1818,7675,,,unhappiness q-12,Happiness or Satisfaction,1,,1,200,,,,,,,,12,12 months,0,N,,0,2.01,-0.074,0.037,2.01,0.59,,,,,,,,,,,,,2.01,0.59,,,effect of lottery amount,,Table 5b,Table 5b,Table 2a,-,Table 2a
Gardner & Oswald,2007,1998,,Money and Mental Wellbeing: A Longitudinal Study of Medium-Sized Lottery Wins,Y,,gardner_07,,y,,Lottery,,UK,0,lottery winners,55.00%,Adults,,9793,116,9677,,win 1000 or more,GHQ mental strain,Stress,1,0,1,4303.1,,,,,,,,48,4 years,0,N,,0,,-1.779,0.571,,,10.73,5.5,,,,,,,,,,,,,,,share female estimated with sample size.,,Table 1,Table 2,-,Female share: table 3,Table 1
Gardner & Oswald,2007,1998,,Money and Mental Wellbeing: A Longitudinal Study of Medium-Sized Lottery Wins,Y,,gardner_07,,y,,Lottery,,UK,0,lottery winners,55.00%,Adults,,12620,2943,9677,,win up to 1000,GHQ mental strain,Stress,1,0,1,70,,,,,,,,48,4 years,0,N,,0,,0.024,0.125,,,10.94,5.16,,,,,,,,,,,,,,,share female estimated with sample size.,,Table 1,Table 2,-,Female share: table 3,Table 1
Gardner & Oswald,2007,1998,,Money and Mental Wellbeing: A Longitudinal Study of Medium-Sized Lottery Wins,Y,,gardner_07,,y,,Lottery,,UK,0,lottery winners,100.00%,Adults,,5386,64,5322,,win 1000 or more,GHQ mental strain,Stress,1,0,1,4303.1,,,,,,,,48,4 years,0,N,,0,,-1.14,0.811,,,,,,,,,,,,,,,,,,,share female estimated with sample size. Assuming same mean win for female/male.,,Table 1,Table 3,-,Female share: table 3,Table 1
Gardner & Oswald,2007,1998,,Money and Mental Wellbeing: A Longitudinal Study of Medium-Sized Lottery Wins,Y,,gardner_07,,y,,Lottery,,UK,0,lottery winners,100.00%,Adults,,6940,1619,5322,,win up to 1000,GHQ mental strain,Stress,1,0,1,70,,,,,,,,48,4 years,0,N,,0,,0.068,0.156,,,,,,,,,,,,,,,,,,,share female estimated with sample size. Assuming same mean win for female/male.,,Table 1,Table 3,-,Female share: table 3,Table 1
Gardner & Oswald,2007,1998,,Money and Mental Wellbeing: A Longitudinal Study of Medium-Sized Lottery Wins,Y,,gardner_07,,y,,Lottery,,UK,0,lottery winners,0.00%,Adults,,4407,52,4355,,win 1000 or more,GHQ mental strain,Stress,1,0,1,4303.1,,,,,,,,48,4 years,0,N,,0,,-1.674,0.627,,,,,,,,,,,,,,,,,,,share female estimated with sample size. Assuming same mean win for female/male.,,Table 1,Table 3,-,Female share: table 3,Table 1
Gardner & Oswald,2007,1998,,Money and Mental Wellbeing: A Longitudinal Study of Medium-Sized Lottery Wins,Y,,gardner_07,,y,,Lottery,,UK,0,lottery winners,0.00%,Adults,,5680,1324,4355,,win up to 1000,GHQ mental strain,Stress,1,0,1,70,,,,,,,,48,4 years,0,N,,0,,-0.105,0.134,,,,,,,,,,,,,,,,,,,share female estimated with sample size. Assuming same mean win for female/male.,,Table 1,Table 3,-,Female share: table 3,Table 1
Glass et al.,2017,2012,RCT,Randomised controlled trial of a livestock productive asset transfer programme to improve economic and health outcomes and reduce intimate partner violence in a postconflict setting,Y,productive asset transfer with 'repayment' through transferring 2 piglets from initial litter,Glass_2017,Y,,,Asset Transfer,hybrid microcredit/in-kind,Democratic Republic of Congo,1,households in conflict-affected villages,84%,16 to 61,25,833,309,524,,Pigs for Peace that required repayment of 'credit' by transferring 2 piglets from initial litter,depression (Hopkins Symptom Checklist),Depression,1,,1,70,lumpsum,70,,,,,,18,18 months,0,Y,,0,,-0.055,0.089,1.68,0.46,1.6,0.44,1.77,0.46,,,,,1.82,0.5,,,,,IPV (%),N,"regression coefficient, p value and effect size provided with CI",,Figure 1,Table 2,Table 2,Table 1,"Page 5, paragraph 2"
Glass et al.,2017,2012,RCT,Randomised controlled trial of a livestock productive asset transfer programme to improve economic and health outcomes and reduce intimate partner violence in a postconflict setting,Y,productive asset transfer with 'repayment' through transferring 2 piglets from initial litter,Glass_2017,Y,,,Asset Transfer,hybrid microcredit/in-kind,Democratic Republic of Congo,1,households in conflict-affected villages,84%,16 to 61,25,833,309,524,,Pigs for Peace that required repayment of 'credit' by transferring 2 piglets from initial litter,anxiety (Hopkins Symptom Checklist),Anxiety,1,,1,70,lumpsum,70,,,,,,18,18 months,0,N,,0,,-0.086,0.125,2.7,0.55,1.58,0.5,1.7,0.54,,,,,1.8,0.55,,,,,IPV (%),N,"regression coefficient, p value and effect size provided with CI",,Figure 1,Table 2,Table 2,Table 1,"Page 5, paragraph 2"
Glass et al.,2017,2012,RCT,Randomised controlled trial of a livestock productive asset transfer programme to improve economic and health outcomes and reduce intimate partner violence in a postconflict setting,Y,productive asset transfer with 'repayment' through transferring 2 piglets from initial litter,Glass_2017,Y,,,Asset Transfer,hybrid microcredit/in-kind,Democratic Republic of Congo,1,households in conflict-affected villages,84%,16 to 61,25,833,309,524,,Pigs for Peace that required repayment of 'credit' by transferring 2 piglets from initial litter,PTSD (Harvard Trauma Questionnaire - adapted),None,1,,1,70,lumpsum,70,,,,,,18,18 months,0,N,,0,,-0.137,0.178,1.9,0.51,1.75,0.48,2.17,0.63,,,,,2.19,0.67,,,,,IPV (%),N,"regression coefficient, p value and effect size provided with CI",,Figure 1,Table 2,Table 2,Table 1,"Page 5, paragraph 2"
Green et al.,2016,2009,RCT,Does poverty alleviation decrease depression symptoms in post-conflict settings? A cluster-randomized trial of microenterprise assistance in Northern Uganda,Y,,Green_2016,,Y,,Cash Transfer,Unconditional,Uganda,1,vulnerable people,86%,14 to 30,27.02,1726,860,866,,,Acholi Psychosocial Assessment Instrument (APAI) depression subscale,Depression,1,,1,150,lumpsum,150,,,,,,16,16 months,0,Y,,0,,-0.03,0.03,0.59,0.51,,,,,,,,,,,,,,,,,,,"page 5, estimating treatment effects",Table 3,Table 3,"page 5, results section","page 3, paragraph 1"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,optimism,Optimism,0,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0.1,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,worries,Anxiety,1,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,-0.13,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,Trust,None,0,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0.04,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,stress - log cortisol (no controls),Stress,1,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0,0.05,2.46,0.89,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,Locus of Control,None,1,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0.03,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,stress - log cortisol (with controls),Stress,1,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0.01,0.05,-0.04,0.88,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,Stress (Cohen),Stress,1,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,-0.26,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,psychological wellbeing index,Happiness or Satisfaction,0,,1,709,lumpsum,709,,,,,,9,9 months,1,N,,1,,0.26,0.05,0,1,,,,,0.03,0.05,,,0,1,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,life satisfaction,Happiness or Satisfaction,0,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0.17,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,self-esteem,Self-Esteem,0,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,happiness,Happiness or Satisfaction,0,,1,709,lumpsum,709,,,,,,9,9 months,0,N,,1,,0.16,0.05,0,1,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer & Shapiro,2016,2011,RCT,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya,Y,,Haushofer_2016,,Y,,Cash Transfer,Unconditional,Kenya,1,heads of poor households,53%,Around 35,35,1474,769,401,,CT of either USD 404 vs. USD 1525 PPP,depression,Depression,1,,1,709,lumpsum,709,,,,,,9,9 months,0,Y,,1,,-1.16,0.44,26.48,9.31,,,,,,,,,,,,,,,food insecurity,Y,,,"Table 2, and Figure 1",Table 1,Table 1,-,"page 1998, note 9"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,subjective well-being index,Happiness or Satisfaction,0,,0,338,lumpsum,338,,,,,,12,1 year,1,N,,1,,0.07,0.1,0,0.92,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 2,Table 2,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,subjective well-being index,Happiness or Satisfaction,0,,1,338,lumpsum,338,,,,,,12,1 year,1,N,,1,,0.03,0.1,0,0.92,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 2,Table 2,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,perceived stress,Stress,1,,0,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.26,0.1,0.02,0.99,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,perceived stress,Stress,1,,1,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.01,0.1,0.02,0.99,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
