title,year,baseline_year,country,treatment_type,duration_month,duration_years,z_treatment_effect,invSE,intervention_value,intervention_value_k,intervention_value_10k,intervention_value_100k,all_n,treatment_n,control_n,se_treatment_effect,population,depression_yn,outcome,outcome_negative,transfer_type,outcome_category,archive_name,id,int_Asset,int_CCT,int_Grad,int_Healthcare,int_Lottery,int_Neighborhood,int_Savings,int_UCT,treatment,age,age_range,female_share,authors,duration,z_se,LMIC,lumpsum,gdppercapita,ST,_meta_id,_meta_studylabel,_meta_es,_meta_se,_meta_cil,_meta_ciu,_meta_studysize,out_depression,out_anx_stress,out_happiness,out_other,intervention_gdp,lumpsumXyears_since,id_factor,_meta_regweight
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,1.5,.125,.3996080855047479,9.813536736869624,13.73,.01373,.001373,.0001373,769,388,381,.051,vulnerable households,N,Wellbeing,0,Unconditional,Happiness or Satisfaction,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,6 weeks,.1019000618037107,1,1,935.039,0,11,Quattrochi 2020,.3996080855047479,.1019000618037107,.1998876343470693,.5993285366624264,769,0,0,1,0,.01468388,.125,Quattrochi 2020,51.24542481247655
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,12,1,.1001919913202161,9.817217368536159,13.73,.01373,.001373,.0001373,643,322,321,.061,vulnerable households,N,Wellbeing,0,Unconditional,Happiness or Satisfaction,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,1 year,.1018618578422197,1,1,935.039,1,12,Quattrochi 2020,.1001919913202161,.1018618578422197,-.0994535814488733,.2998375640893054,643,0,0,1,0,.01468388,1,Quattrochi 2020,51.26587582906889
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,1.5,.125,.2060046264225782,23.47551925290381,13.73,.01373,.001373,.0001373,769,388,381,.122,vulnerable households,N,Life satisfaction,0,Unconditional,Happiness or Satisfaction,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,6 weeks,.042597566819584,1,1,935.039,0,13,Quattrochi 2020,.2060046264225782,.042597566819584,.1225149296271553,.2894943232180012,769,0,0,1,0,.01468388,.125,Quattrochi 2020,91.36702849814078
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,12,1,.0842081844566181,18.02505484059098,13.73,.01373,.001373,.0001373,643,322,321,.112,vulnerable households,N,Life satisfaction,0,Unconditional,Happiness or Satisfaction,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,1 year,.0554783332890661,1,1,935.039,1,14,Quattrochi 2020,.0842081844566181,.0554783332890661,-.0245273507122609,.1929437196254971,643,0,0,1,0,.01468388,1,Quattrochi 2020,81.91242553143734
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,12,1,.2587448738764295,6.598457575573485,13.73,.01373,.001373,.0001373,643,322,321,.041,vulnerable households,N,Anxiety/depression,1,Unconditional,Depression,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,1 year,.1515505689847658,1,1,935.039,1,15,Quattrochi 2020,.2587448738764295,.1515505689847658,-.0382887831702645,.5557785309231233,643,1,0,0,0,.01468388,1,Quattrochi 2020,31.15469629133236
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,12,1,.1991194016514296,12.3922252029063,13.73,.01373,.001373,.0001373,643,322,321,.077,vulnerable households,N,mental health index,0,Unconditional,Depression,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,1 year,.0806957575113688,1,1,935.039,1,16,Quattrochi 2020,.1991194016514296,.0806957575113688,.0409586232239691,.35728018007889,643,1,0,0,0,.01468388,1,Quattrochi 2020,63.92995382579588
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,1.5,.125,.1545777261150876,7.889313847287344,13.73,.01373,.001373,.0001373,769,388,381,.041,vulnerable households,N,Anxiety/depression,1,Unconditional,Depression,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,6 weeks,.1267537354143718,1,1,935.039,0,17,Quattrochi 2020,.1545777261150876,.1267537354143718,-.0938550302030004,.4030104824331756,769,1,0,0,0,.01468388,.125,Quattrochi 2020,39.68754154890988
Effect of Ecuador’s cash transfer program (Bono de Desarrollo Humano) on child development in infants and toddlers: A,2011,2004,Ecuador,UCT,24,2,-.0043195676329189,209.1199779248095,360,.36,.036,.0036,1196,797,399,.786,mothers of vulnerable households,Y,depressive symptoms score (0e60 scale),1,Unconditional,Depression,fernald2011,Fernald et. al 2011,0,0,0,0,0,0,0,1,UCT,22.6,,1,Fernald et. al,2 years,.0047819438865834,1,0,7140.546,0,18,Fernald et. al 2011,-.0043195676329189,.0047819438865834,-.0136920054267138,.0050528701608761,1196,1,0,0,0,.050416313,0,Fernald et. al 2011,109.2516294298361
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2010,Ethiopia,Graduation Program,24,2,-.02,18.18181818181818,1228,1.228,.1228,.01228,1537,,,.055,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.58,Banerjee et al.,24 months,.055,1,1,1084.803,0,19,Banerjee et al. 2015,-.02,.055,-.127798019149703,.0877980191497029,1537,0,1,0,0,1.1320027,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2010,Ethiopia,Graduation Program,24,2,.14,14.92537313432836,1228,1.228,.1228,.01228,1537,,,.067,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.58,Banerjee et al.,24 months,.067,1,1,1084.803,0,20,Banerjee et al. 2015,.14,.067,.0086824130358164,.2713175869641836,1537,0,0,1,0,1.1320027,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2010,Ethiopia,Graduation Program,36,3,.079,17.85714285714286,1228,1.228,.1228,.01228,1471,,,.056,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.58,Banerjee et al.,36 months,.056,1,1,1084.803,0,21,Banerjee et al. 2015,.079,.056,-.030757983134243,.188757983134243,1471,0,0,1,0,1.1320027,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2010,Ethiopia,Graduation Program,36,3,-.056,16.94915254237288,1228,1.228,.1228,.01228,1471,,,.059,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.58,Banerjee et al.,36 months,.059,1,1,1084.803,0,22,Banerjee et al. 2015,-.056,.059,-.1716378750878632,.0596378750878632,1471,0,1,0,0,1.1320027,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2010,Ethiopia,Graduation Program,36,3,-.023,71.42857142857143,1228,1.228,.1228,.01228,1470,,,.014,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.58,Banerjee et al.,36 months,.014,1,1,1084.803,0,23,Banerjee et al. 2015,-.023,.014,-.0504394957835608,.0044394957835608,1470,0,1,0,0,1.1320027,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2010,Ethiopia,Graduation Program,24,2,.002,52.63157894736842,1228,1.228,.1228,.01228,1537,,,.019,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.58,Banerjee et al.,24 months,.019,1,1,1084.803,0,24,Banerjee et al. 2015,.002,.019,-.035239315706261,.039239315706261,1537,0,1,0,0,1.1320027,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,"Ethiopia, Ghana, Honduras, India, Pakistan, Peru",Graduation Program,36,3,.066,50,6475,6.475,.6475,.06475,14595,,,.02,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.6659999999999999,Banerjee et al.,36 months,.02,1,1,,0,25,Banerjee et al. 2015,.066,.02,.0268007203091989,.1051992796908011,14595,0,0,1,0,,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,"Ethiopia, Ghana, Honduras, India, Peru",Graduation Program,24,2,.14,40,6475,6.475,.6475,.06475,12483,,,.025,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.6659999999999999,Banerjee et al.,24 months,.025,1,1,,0,26,Banerjee et al. 2015,.14,.025,.0910009003864987,.1889990996135014,12483,0,0,1,0,,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,"Ethiopia, Ghana, Honduras, India, Peru",Graduation Program,24,2,.049,45.45454545454546,6475,6.475,.6475,.06475,12449,,,.022,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.6659999999999999,Banerjee et al.,24 months,.022,1,1,,0,27,Banerjee et al. 2015,.049,.022,.0058807923401188,.0921192076598812,12449,0,1,0,0,,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,"Ethiopia, Ghana, Honduras, India, Peru",Graduation Program,36,3,.062,43.47826086956522,6475,6.475,.6475,.06475,12295,,,.023,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.6659999999999999,Banerjee et al.,36 months,.023,1,1,,0,28,Banerjee et al. 2015,.062,.023,.0169208283555788,.1070791716444212,12295,0,1,0,0,,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,"Ethiopia, Ghana, India",Graduation Program,24,2,-.004,90.90909090909092,6475,6.475,.6475,.06475,5369,,,.011,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.6659999999999999,Banerjee et al.,24 months,.011,1,1,,0,29,Banerjee et al. 2015,-.004,.011,-.0255596038299406,.0175596038299406,5369,0,1,0,0,,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,"Ethiopia, Ghana, India,",Graduation Program,36,3,.001,83.33333333333333,5247,5.247,.5247000000000001,.05247,5521,,,.012,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.6659999999999999,Banerjee et al.,36 months,.012,1,1,,0,30,Banerjee et al. 2015,.001,.012,-.0225195678144806,.0245195678144806,5521,0,1,0,0,,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2011,Ghana,Graduation Program,36,3,.02,41.66666666666666,680,.68,.068,.0068,2291,,,.024,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,50.83833,18 to 60,1,Banerjee et al.,36 months,.024,1,1,4605.212,0,31,Banerjee et al. 2015,.02,.024,-.0270391356289613,.0670391356289613,2291,0,1,0,0,.14765878,3,Banerjee et al. 2015,103.0257151070645
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2011,Ghana,Graduation Program,24,2,.16,20,680,.68,.068,.0068,2372,,,.05,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,50.83833,18 to 60,1,Banerjee et al.,24 months,.05,1,1,4605.212,0,32,Banerjee et al. 2015,.16,.05,.0620018007729973,.2579981992270027,2372,0,0,1,0,.14765878,2,Banerjee et al. 2015,85.98219709975122
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2011,Ghana,Graduation Program,36,3,.05,18.18181818181818,680,.68,.068,.0068,2292,,,.055,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,50.83833,18 to 60,1,Banerjee et al.,36 months,.055,1,1,4605.212,0,33,Banerjee et al. 2015,.05,.055,-.057798019149703,.157798019149703,2292,0,1,0,0,.14765878,3,Banerjee et al. 2015,82.26854138117498
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2011,Ghana,Graduation Program,24,2,.032,45.45454545454546,680,.68,.068,.0068,2332,,,.022,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,50.83833,18 to 60,1,Banerjee et al.,24 months,.022,1,1,4605.212,0,34,Banerjee et al. 2015,.032,.022,-.0111192076598812,.0751192076598812,2332,0,1,0,0,.14765878,2,Banerjee et al. 2015,104.0115748599657
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2011,Ghana,Graduation Program,36,3,-.01,21.27659574468085,680,.68,.068,.0068,2287,,,.047,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,50.83833,18 to 60,1,Banerjee et al.,36 months,.047,1,1,4605.212,0,35,Banerjee et al. 2015,-.01,.047,-.1021183072733825,.0821183072733825,2287,0,0,1,0,.14765878,3,Banerjee et al. 2015,88.18875193105158
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2011,Ghana,Graduation Program,24,2,.12,19.23076923076923,680,.68,.068,.0068,2333,,,.052,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,50.83833,18 to 60,1,Banerjee et al.,24 months,.052,1,1,4605.212,0,36,Banerjee et al. 2015,.12,.052,.0180818728039172,.2219181271960828,2333,0,1,0,0,.14765878,2,Banerjee et al. 2015,84.50003536581627
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,Honduras,Graduation Program,36,3,.13,23.80952380952381,724,.724,.0724,.00724,3867,,,.042,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.517,Banerjee et al.,36 months,.042,1,1,3674.229,0,37,Banerjee et al. 2015,.13,.042,.0476815126493177,.2123184873506823,3867,0,1,0,0,.19704814,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,Honduras,Graduation Program,36,3,.051,18.51851851851852,724,.724,.0724,.00724,3864,,,.054,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.517,Banerjee et al.,36 months,.054,1,1,3674.229,0,38,Banerjee et al. 2015,.051,.054,-.0548380551651629,.1568380551651629,3864,0,0,1,0,.19704814,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,Honduras,Graduation Program,24,2,.15,18.18181818181818,724,.724,.0724,.00724,3994,,,.055,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.517,Banerjee et al.,24 months,.055,1,1,3674.229,0,39,Banerjee et al. 2015,.15,.055,.042201980850297,.257798019149703,3994,0,0,1,0,.19704814,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2009,Honduras,Graduation Program,24,2,.12,24.39024390243902,724,.724,.0724,.00724,3994,,,.041,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,.517,Banerjee et al.,24 months,.041,1,1,3674.229,0,40,Banerjee et al. 2015,.12,.041,.0396414766338578,.2003585233661422,3994,0,1,0,0,.19704814,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2007,India,Graduation Program,36,3,-.003,18.51851851851852,700,.7,.07,.007,1760,,,.054,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,,Banerjee et al.,36 months,.054,1,1,3377.674,0,41,Banerjee et al. 2015,-.003,.054,-.1088380551651629,.1028380551651629,1760,0,1,0,0,.2072432,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2007,India,Graduation Program,24,2,.13,24.39024390243902,700,.7,.07,.007,1502,,,.041,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,,Banerjee et al.,24 months,.041,1,1,3377.674,0,42,Banerjee et al. 2015,.13,.041,.0496414766338578,.2103585233661422,1502,0,0,1,0,.2072432,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2007,India,Graduation Program,36,3,.01,41.66666666666666,700,.7,.07,.007,1760,,,.024,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,,Banerjee et al.,36 months,.024,1,1,3377.674,0,43,Banerjee et al. 2015,.01,.024,-.0370391356289613,.0570391356289613,1760,0,1,0,0,.2072432,3,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2007,India,Graduation Program,24,2,.11,17.5438596491228,700,.7,.07,.007,1502,,,.057,ultra poor households,N,stress index,0,In-kind,Stress,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,,Banerjee et al.,24 months,.057,1,1,3377.674,0,44,Banerjee et al. 2015,.11,.057,-.0017179471187831,.2217179471187831,1502,0,1,0,0,.2072432,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2007,India,Graduation Program,24,2,-.042,62.5,700,.7,.07,.007,1500,,,.016,ultra poor households,N,has not experienced worry,0,In-kind,Anxiety,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,,Banerjee et al.,24 months,.016,1,1,3377.674,0,45,Banerjee et al. 2015,-.042,.016,-.0733594237526409,-.0106405762473591,1500,0,1,0,0,.2072432,2,Banerjee et al. 2015,
A multifaceted program causes lasting progress for the very poor: Evidence from six countries,2015,2007,India,Graduation Program,36,3,.049,27.77777777777778,700,.7,.07,.007,1759,,,.036,ultra poor households,N,self-reported happiness,0,In-kind,Happiness or Satisfaction,Banerjee_15,Banerjee et al. 2015,0,0,1,0,0,0,0,0,Grad,,18 to 60,,Banerjee et al.,36 months,.036,1,1,3377.674,0,46,Banerjee et al. 2015,.049,.036,-.0215587034434419,.1195587034434419,1759,0,0,1,0,.2072432,3,Banerjee et al. 2015,
The effect of affordable daycare on women's mental health: Evidence from a cluster randomized trial in rural India,2018,2014,India,Asset Transfer,12,1,.0799802550390786,21.73913043478261,,,,,3041,1486,1555,.046,poor households,N,mental distress,1,In-kind,Stress,richardson_18,Richardson et al. 2018,1,0,0,0,0,0,0,0,Asset,30,"Adults, average age 30",1,Richardson et al.,12 months,.046,1,0,5233.869,0,47,Richardson et al. 2018,.0799802550390786,.046,-.0101780882497639,.1701385983279211,3041,0,1,0,0,,0,Richardson et al. 2018,
